주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
186-1-000015,계룡스파텔 정문앞,공영,노상,"대전광역시 유성구 온천로 81, (봉명동)",대전광역시 유성구 봉명동 539-1,59,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35512923,127.3478826,2020-03-16
186-1-000016,유성우체국 옆,공영,노상,,대전광역시 유성구 봉명동 537-8,7,2,미시행,평일+토요일+공휴일,12:00,12:00,13:00,13:00,13:00,13:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35566054,127.3436558,2020-03-16
186-1-000017,"장명교~경원장, 파라곤모텔앞",공영,노상,"대전광역시 유성구 계룡로87번길 72, (봉명동)",대전광역시 유성구 봉명동 535-2,26,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35713613,127.3419554,2020-03-16
186-1-000018,상수도사업본부 유성사업소 주변,공영,노상,,대전광역시 유성구 봉명동 665-6,20,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000019,농촌공사 주변,공영,노상,"대전광역시 유성구 한밭대로313번길 21, (장대동)",대전광역시 유성구 장대동 24-2,74,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36615774,127.3359377,2020-03-16
186-1-000020,장대동공영주차장주변,공영,노상,"대전광역시 유성구 유성대로729번길 40, (장대동)",대전광역시 유성구 장대동 263-4,36,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36000152,127.3318512,2020-03-16
186-1-000021,학사마을 주변,공영,노상,"대전광역시 유성구 유성대로822번길 16, (장대동)",대전광역시 유성구 장대동 317-3,118,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36465589,127.3393008,2020-03-16
186-1-000022,월드컵패밀리타운 주변,공영,노상,"대전광역시 유성구 유성대로783번길 38, (장대동, 월드컵패밀리타운)",대전광역시 유성구 장대동 323-2,40,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.3645249,127.3359084,2020-03-16
186-1-000023,장대동 364일원,공영,노상,,대전광역시 유성구 장대동 364,53,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000024,궁동 457-1일원,공영,노상,"대전광역시 유성구 문화원로37번길 36, (궁동)",대전광역시 유성구 궁동 457-3,38,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36189322,127.3410849,2020-03-16
186-1-000024,유림공원주차장,공영,노상,,대전광역시 유성구 봉명동 496-1,50,3,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000025,어은로58번길(카이스트옆),공영,노상,대전광역시 유성구 어은로58번길,,14,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000026,유성구청 뒤,공영,노상,"대전광역시 유성구 대학로 211, (어은동)",대전광역시 유성구 어은동 109,28,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36259007,127.3567403,2020-03-16
186-1-000027,유성구청~어은공원,공영,노상,"대전광역시 유성구 대학로 211, (어은동)",대전광역시 유성구 어은동 109,22,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36259007,127.3567403,2020-03-16
186-1-000028,전민동 458-13일원,공영,노상,"대전광역시 유성구 전민로 26-1, (전민동)",대전광역시 유성구 전민동 458-13,57,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.39653202,127.4020583,2020-03-16
186-1-000029,엑스포코아 앞,공영,노상,"대전광역시 유성구 엑스포로 488, (전민동)",대전광역시 유성구 전민동 466-3,15,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.39999099,127.4057013,2020-03-16
186-1-000030,도룡동 우성(아)앞,공영,노상,,대전광역시 유성구 도룡동 401-3,27,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000031,신성동 한울(아)옆,공영,노상,,대전광역시 유성구 신성동 106,27,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000032,숯골원냉면 주변,공영,노상,"대전광역시 유성구 신성로84번길 18-1, (신성동, 대원빌라)",대전광역시 유성구 신성동 136-4,10,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.39006306,127.3500846,2020-03-16
186-1-000033,신성동 첨단주유소~신성삼거리,공영,노상,"대전광역시 유성구 가정로 43, (신성동, 한울아파트)",대전광역시 유성구 신성동 160-1,48,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.38728262,127.3467997,2020-03-16
186-1-000034,럭키하나아파트 주변,공영,노상,"대전광역시 유성구 신성남로 27, (신성동)",대전광역시 유성구 신성동 206,15,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.38644988,127.3480577,2020-03-16
186-1-000035,신성동애경기술원전면,공영,노상,"대전광역시 유성구 신성남로 120, (신성동)",대전광역시 유성구 신성동 217-2,69,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.39195974,127.3523268,2020-03-16
186-1-000036,주막공원~숯골길,공영,노상,,대전광역시 유성구 신성동 466,53,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000037,도덕봉가든일원,공영,노상,,대전광역시 유성구 덕명동 171-96,28,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000038,요한이네할인매장 맞은편~유진아이티 맞은편,공영,노상,"대전광역시 유성구 노은서로 6, (노은동)",대전광역시 유성구 노은동 562-9,20,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36349122,127.3171226,2020-03-16
186-1-000039,대전원예농협~대신수산,공영,노상,"대전광역시 유성구 노은동로 8, (노은동)",대전광역시 유성구 노은동 567-3,10,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36300357,127.3188588,2020-03-16
186-1-000040,유성경찰서~죽동 622,공영,노상,"대전광역시 유성구 북유성대로 112, (죽동)",대전광역시 유성구 죽동 629,43,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.37878166,127.3254137,2020-03-16
186-1-000041,원내동 중앙장로교회 앞,공영,노상,"대전광역시 유성구 진잠로102번길 75, (원내동, 이화빌라)",대전광역시 유성구 원내동 92-10,8,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.30111909,127.3197156,2020-03-16
186-1-000042,죽동장애인복지관~북대전세무서,공영,노상,"대전광역시 유성구 북유성대로 166, (죽동)",대전광역시 유성구 죽동 600,39,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.38140784,127.3233651,2020-03-16
186-1-000043,수통골 공영주차장 입구 주변,공영,노상,,대전광역시 유성구 계산동 352-8,8,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000044,갤러리골프연습장앞,공영,노상,,대전광역시 유성구 원내동 761,33,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000045,유성경찰서 인근,공영,노상,,대전광역시 유성구 죽동 648,32,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000046,반석마을 2단지 207동 옆라인,공영,노상,,대전광역시 유성구 지족동 1001,35,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000047,유성성당 옆,공영,노상,,대전광역시 유성구 봉명동 568-1,12,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35376538,127.3357241,2020-03-16
186-1-000048,온천1동주민센터앞,공영,노상,,대전광역시 유성구 봉명동 451,8,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.35311458,127.3389699,2020-03-16
186-1-000049,대우이수드림월드아파트 옆,공영,노상,,대전광역시 유성구 장대동 343,34,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-1-000050,권인순 김치찌개 앞,공영,노상,,대전광역시 유성구 노은동 517-3,78,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36747418,127.3172101,2020-03-16
186-1-000051,메가시티주변,공영,노상,,대전광역시 유성구 노은동 554-3,22,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36586103,127.3165484,2020-03-16
186-1-000052,열매마을4단지 앞,공영,노상,,대전광역시 유성구 지족동 884-4,11,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.37574933,127.3163121,2020-03-16
186-2-000008,관평동1공영,공영,노외,,대전광역시 유성구 관평동 1175,48,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000009,관평동2공영,공영,노외,,대전광역시 유성구 관평동 734,50,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000010,관평동3공영,공영,노외,,대전광역시 유성구 관평동 788,32,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000011,관평동4공영,공영,노외,,대전광역시 유성구 관평동 932,40,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000012,관평동5공영,공영,노외,,대전광역시 유성구 관평동 1052,44,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000013,용산동공영,공영,노외,,대전광역시 유성구 용산동 624,27,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000014,송강동(프라자옆)공영,공영,노외,,대전광역시 유성구 송강동 16-1,86,3,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,혼합,10,100,10,100,,2400,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000015,송강동(GS마트앞)공영,공영,노외,,대전광역시 유성구 송강동 36-2,59,4,미시행,평일,12:00,12:00,12:00,12:00,12:00,12:00,혼합,10,100,10,100,,2400,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000016,봉산동공영,공영,노외,,대전광역시 유성구 봉산동 299,50,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000017,죽동공영,공영,노외,,대전광역시 유성구 죽동 598,65,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000018,반석동공영,공영,노외,,대전광역시 유성구 반석동 641,30,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000019,도룡동공영(上),공영,노외,,대전광역시 유성구 도룡동 385-1,96,3,미시행,평일+토요일,12:00,12:00,12:00,12:00,12:00,12:00,혼합,10,150,10,150,,6500,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000020,도룡동공영(下),공영,노외,,대전광역시 유성구 도룡동 395-10,90,3,미시행,평일+토요일,12:00,12:00,12:00,12:00,12:00,12:00,혼합,10,150,10,150,,6500,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000021,신성동 제1공영,공영,노외,,대전광역시 유성구 신성동 137-2,42,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000022,신성동 제2공영,공영,노외,,대전광역시 유성구 신성동 211-2,70,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000023,덕명지구 공영(1),공영,노외,,대전광역시 유성구 덕명동 544,30,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000025,덕명지구 공영(2),공영,노외,,대전광역시 유성구 구암동 657,19,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000026,덕명지구 공영(3),공영,노외,,대전광역시 유성구 구암동 677,17,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000027,덕명지구 공영(4),공영,노외,,대전광역시 유성구 덕명동 544,29,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000028,덕명지구 공영(5),공영,노외,,대전광역시 유성구 덕명동 545,53,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000029,덕명지구 공영(6),공영,노외,,대전광역시 유성구 덕명동 530,21,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000030,장대동 공영,공영,노외,"대전광역시 유성구 유성대로729번길 40, (장대동)",대전광역시 유성구 장대동 263-2,144,1,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.36000152,127.3318512,2020-03-16
186-2-000031,궁동공영,공영,노외,"대전광역시 유성구 대학로163번길 18, (궁동)",대전광역시 유성구 궁동 428-2,194,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,유료,10,100,10,100,,2400,,,,대전광역시 유성구청,042-611-2956,36.36096828,127.3517681,2020-03-16
186-2-000032,전민동주민센터공영,공영,노외,,대전광역시 유성구 전민동 300-4,60,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000033,전민동 제1공영,공영,노외,,대전광역시 유성구 전민동 332-4,38,4,미시행,평일,10:00,22:00,12:00,12:00,12:00,12:00,유료,10,100,10,100,,2400,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000034,전민동 제2공영,공영,노외,,대전광역시 유성구 전민동 346-3,28,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000035,교촌동공영,공영,노외,,대전광역시 유성구 교촌동 636-1,23,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000036,원내동공영,공영,노외,"대전광역시 유성구 원내로 5, (원내동)",대전광역시 유성구 원내동 213-4,34,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.2995232,127.3166275,2020-03-16
186-2-000037,원내동공영,공영,노외,"대전광역시 유성구 진잠로66번길 45, (원내동)",대전광역시 유성구 원내동 341-6,127,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,유료,10,100,10,100,,2400,,,,대전광역시 유성구청,042-611-2956,36.29832271,127.3193791,2020-03-16
186-2-000038,학하지구 공영,공영,노외,,대전광역시 유성구 덕명동 588,62,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000039,수통골 공영주차장,공영,노외,"대전광역시 유성구 수통골로 39, (계산동)",대전광역시 유성구 계산동 354,177,2,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,36.34532264,127.2905232,2020-03-16
186-2-000040,세동 공영주차장,공영,노외,,대전광역시 유성구 세동 136,12,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000041,학하지구 공영(2),공영,노외,,대전광역시 유성구 복용동 604-1,46,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000042,학하지구 공영(3),공영,노외,,대전광역시 유성구 학하동 714-9,34,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000043,학하지구 공영(4),공영,노외,,대전광역시 유성구 학하동 721-1,40,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000044,학하지구 공영(5),공영,노외,,대전광역시 유성구 덕명동 595,30,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000045,학하지구 공영(6),공영,노외,,대전광역시 유성구 계산동 758-7,34,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000046,학하지구 공영(7),공영,노외,,대전광역시 유성구 학하동 747-1,46,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000047,학하지구 공영(8),공영,노외,,대전광역시 유성구 학하동 778-2,45,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000048,학하지구 공영(9),공영,노외,,대전광역시 유성구 학하동 731-1,22,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000049,학하지구 공영(10),공영,노외,,대전광역시 유성구 학하동 716-6,34,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
186-2-000050,학하지구 공영(11),공영,노외,,대전광역시 유성구 학하동 721-12,39,4,미시행,평일+토요일+공휴일,12:00,12:00,12:00,12:00,12:00,12:00,무료,0,0,0,0,,,,,,대전광역시 유성구청,042-611-2956,,,2020-03-16
