수요처명,시설유형,소재지주소,전화번호,데이터기준일자
대전장애인탁구협회,,대전광역시 대덕구 대화동 3-3(시립체육재활원 지하1층),042-626-2009,2020-09-10
대전조차장역,공공기관,대전광역시 대덕구 아리랑로 166 (읍내동) 426 대전조차장 1층 역무실,042-259-2312,2020-09-10
대전종합사회복지관,민간시설,대전광역시 대덕구 우암동로15번길 20 (비래동) 116-7 대전종합사회복지관,042-627-2957,2020-09-10
대전중리초등학교,,대전광역시 대덕구 법동 284-4,042-621-9442,2020-09-10
대전지방검찰청범죄예방위원대덕구지구협의회,공공기관,대전광역시 대덕구 오정로63번길 28-2 (오정동) 325-4 2층,042-624-5161,2020-09-10
대전철도차량정비단,공공기관,대전광역시 대덕구 벚꽃길 150 ,042-606-5254,2020-09-10
대전총신평생교육원,민간시설,대전광역시 대덕구 대전로1033번길 25 대전총신평생교육원 3~4층,042-634-8301,2020-09-10
대전충남혈액원,공공시설,대전광역시 대덕구 송촌동 294-6 대전충남혈액원,042-630-0571,2020-09-10
대전학원안전공제회,민간기관,대전광역시 서구  한밭대로570번길 14 2층(월평동) 대전학원안전공제회,042-482-8301,2020-09-10
대전행복나눔무지개푸드마켓3호점,민간기관,대전광역시 대덕구  계족로608번길 15 대전행복나눔무지개푸드마켓3호점,042-637-1377,2020-09-10
대청댐시민휴식공원,민간시설,대전광역시 대덕구 미호동 57-4,042-932-0300,2020-09-10
대청지역아동센터,민간시설,대전광역시 대덕구 신탄진북로32번길 14 2층,042-935-0818,2020-09-10
대한노인회대덕구지회,민간기관,대전광역시 대덕구 신탄진로681번길 6 덕암동,042-932-6070,2020-09-10
대한노인회대덕구지회오정동제1노인회,민간시설,대전 대덕구 오정동 66-10,042-000-0000,2020-09-10
대한적십자사대전세종충남혈액원,공공기관,대전광역시 대덕구  송촌남로 22 대한적십자사 대전세종충남혈액원,042-630-0575,2020-09-10
대한적십자사대전충남혈액원장,공공기관,대전광역시 대덕구 송촌동 294-6,042-623-2166,2020-09-10
대한평촌동노인회대덕지회,민간시설,대전 대덕구 평촌동 138-14,042-932-6069,2020-09-10
대화동주민센터,행정기관,대전광역시 대덕구 동심5길 10 대화동행정복지센터,042-608-5644,2020-09-10
대화마을도서관,민간시설,대전 대덕구 대화동 235-1,042-673-1804,2020-09-10
대화지역아동센터,민간기관,대전광역시 대덕구 동심1길 173 (대화동),042-673-1913,2020-09-10
덕암동관내,,대전광역시 대덕구 덕암동 48-2,042-608-5611,2020-09-10
덕암동주민센터,공공기관,대전광역시 대덕구 덕암북로104번길 60 덕암동주민센터,042-608-5822,2020-09-10
덕암어린이집,민간기관,대전 대덕구 덕암동 21-2,042-933-7599,2020-09-10
덕암지역아동센터,민간시설,대전광역시 대덕구 덕암로187번길 15 덕암지역아동센터,042-932-8477,2020-09-10
동부평생교육문화센터,행정기관,대전광역시 대덕구 법동 439-4번지,042-638-3508,2020-09-10
동춘요양원,민간시설,"대전광역시 대덕구  계족산로81번길 74 (송촌동)5층,6층",042-634-0124,2020-09-10
디아트웨딩홀,,대전광역시 대덕구 대화동 16-12,042-621-6000,2020-09-10
또바기어린이도서관,,대전광역시 대덕구 와동 현대아파트 입구,042-320-3060,2020-09-10
로뎀,민간시설,대전광역시 대덕구  대전로 1081 오정빌딩 로뎀,042-710-0674,2020-09-10
로뎀나무단기보호센터,민간시설,대전광역시 대덕구 오정동 685-9번지 로뎀나무단기보호센터,042-622-0675,2020-09-10
로뎀나무주간보호센터,민간시설,대전광역시 대덕구 대전로 1081 오정빌딩 1층 (오정동 385-6번지),042-622-0675,2020-09-10
마을어린이도서관-마루,민간시설,대전광역시 대덕구 동춘당로 171 (법동) 하나은행 3층,042-322-6958,2020-09-10
마중물,민간시설,대전광역시 대덕구  중리동로27번길 14-11 (중리동),042-582-2337,2020-09-10
만두레지역아동센터,민간시설,대전광역시 대덕구  오정로78번길 24 (3층),042-622-8273,2020-09-10
만민의 집,민간시설,대전광역시 대덕구  장동로 233-13  ,042-633-3130,2020-09-10
목상동주민복지위원회,민간시설,대전광역시 대덕구  대덕대로1486번길 101 대덕국민체육센터,042-935-0082,2020-09-10
목상동행정복지센터,공공기관,대전광역시 대덕구  대덕대로1470번길 7 ,042-608-5843,2020-09-10
목상지역아동센터,민간기관,대전광역시 대덕구  대덕대로1508번길 27 목상장로교회 ,070-7552-0185,2020-09-10
무지개어린이집,민간기관,대전 대덕구 중리동 207-7,042-636-3255,2020-09-10
민들레노인요양공동생활가정,민간시설,대전광역시 대덕구  신탄진로218번길 26 민들레 노인요양공동생활가정,042-621-1424,2020-09-10
민들레의료복지사회적협동조합,민간시설,대전광역시 대덕구 계족로663번길 26 대전광역시 대덕구 계족로663번길 26(법동),042-638-9053,2020-09-10
민족중흥회대전지역회,민간시설,대전광역시 대덕구 중리동 400-24,042-226-0513,2020-09-10
민주평화통일자문회의 대전대덕구협의회,행정기관,대전광역시 대덕구 대전로1033번길 20 대덕구청 후동 2층,042-634-6846,2020-09-10
민주평화통일자문회의 대전지역회의,민간기관,대전광역시 서구  둔산로 100 대전광역시청 16층 민주평통,042-472-7821,2020-09-10
밀알복지재단대전충청지부,민간시설,대전광역시 대덕구 동서대로1777번길 1 503호,042-223-4669,2020-09-10
바르게살기운동대전광역시대덕구협의회,민간기관,대전광역시 대덕구  오정로78번길 111-14 ,042-632-4519,2020-09-10
밝은내일의집,민간시설,대전광역시 대덕구  대전로1033번길 64-5 어린왕자빌라403호,042-582-7179,2020-09-10
백세재가복지센터,민간시설,대전광역시 대덕구  홍도로73번길 55-10 B01호,042-335-3650,2020-09-10
범죄예방대덕구지구협의회,민간기관,대전광역시 대덕구 오정동 325-4 (2층),042-624-5161,2020-09-10
법1동행정복지센터,행정기관,대전광역시 대덕구  계족로663번길  36 법1동행정복지센터,042-608-5742,2020-09-10
법2동행정복지센터,행정기관,대전광역시 대덕구 동춘당로 187 ,042-608-5763,2020-09-10
법동복지관어린이집,민간시설,대전 대덕구 법동 188,042-633-1141,2020-09-10
법동종합사회복지관,공공시설,"대전광역시 대덕구 계족로664번길 27 (법동, 한마음아파트)",042-633-0239,2020-09-10
법동지역아동센터,민간기관,대전광역시 대덕구 아리랑로 213 (법동),042-638-6004,2020-09-10
법사랑위원대전대덕구지구협의회,민간시설,대전광역시 대덕구  오정로63번길 28-2 2층(오정동 325-4),042-624-5161,2020-09-10
보니파시오요양병원,행정기관,대전광역시 대덕구 덕암로 225 (덕암동),042-717-1000,2020-09-10
부모애주간보호센터,민간기관,대전광역시 대덕구  계족산로81번길 74 세정프라자 3층,042-626-0142,2020-09-10
비래동주민센터,행정기관,대전광역시 대덕구  비래동로  10 ,042-608-5685,2020-09-10
비래제1노인정,민간시설,대전 대덕구 비래동 122-3,042-634-0316,2020-09-10
비래제2노인정,민간시설,대전 대덕구 비래동 138-4,042-673-5068,2020-09-10
비래지역아동센터,민간시설,대전광역시 대덕구  우암로 396 비래동 52-1번지( 비래지역아동센터),042-624-6392,2020-09-10
사)중리시장상인회,공공시설,대전광역시 대덕구  중리북로31번길 26  ,042-623-1040,2020-09-10
사단법인 해병대전우회 대전연합대덕지회,민간시설,대전광역시 대덕구  신탄진로681번길 12 ,042-933-3196,2020-09-10
사단법인한국교통시민협회대전동부지부,민간기관,대전광역시 대덕구 비래동 560-9 동부종합상가 121-1,042-622-4000,2020-09-10
사랑과행복나눔마을학교,민간기관,"대전광역시 대덕구  덕암로265번길 81 , 사랑과행복나눔마을학교(덕암옥그린A 상가 2층)",042-935-2004,2020-09-10
사랑의 코스모스,민간기관,대전광역시 대덕구  동산초교로 82 오정교회 사랑의 코스모스 사무실,042-622-6900,2020-09-10
사회복지법인 대덕어린이집,공공시설,대전광역시 대덕구 대전로1397번길 33 (읍내동),042-622-4662,2020-09-10
사회복지법인 선정원,민간기관,대전광역시 대덕구  한남로137번길 29 새뜸어린이집,042-639-3600,2020-09-10
사회복지법인 일진회 서현어린이집,민간기관,대전광역시 대덕구  동심1길 85 (대화동) 서현어린이집,042-627-4403,2020-09-10
사회복지법인 횃불나눔재단,행정기관,대전광역시 대덕구 대화로 139 33,042-624-0455,2020-09-10
사회복지법인우리쉼터,민간시설,대전광역시 대덕구 상서동 149,042-932-0804,2020-09-10
사회복지법인천성원,민간시설,대전광역시 대덕구 대화동 39-1,042-620-8601,2020-09-10
사회적협동조합 도원참사랑나눔,기업체,대전광역시 대덕구 대전로1020번길 23 4층,042-525-6012,2020-09-10
산재의료관리원대전중앙병원,공공시설,대전광역시 대덕구 법동 285-3,042-585-3004,2020-09-10
새뜸노인정,민간시설,대전 대덕구 오정동 496-1,042-635-0992,2020-09-10
새순지역아동센터,민간시설,대전광역시 대덕구 대전로1032번길 51 2층,042-624-0936,2020-09-10
새싹지역아동센터,민간시설,대전광역시 대덕구  계족로663번길 30-9 중리주공3단지아파트 상가2층 208호,042-638-6566,2020-09-10
새여울리더스클럽,민간시설,대전광역시 대덕구 석봉로30번길 2 2층,042-931-1055,2020-09-10
샬롬지역아동센터,공공시설,대전광역시 대덕구  계족로608번길 31  ,042-638-8004,2020-09-10
서오(아)노인정,민간시설,대전 대덕구 비래동 93-1,042-626-3591,2020-09-10
석봉동행정복지센터,행정기관,대전광역시 대덕구  석봉로37번길  15 ,042-608-5804,2020-09-10
석봉지역아동센터,민간기관,대전광역시 대덕구  덕암북로 37 2층,042-936-2345,2020-09-10
선비4단지작은도서관,민간기관,대전광역시 대덕구 계족산로 135 선비마을4단지아파트 (401~417동) 관리사무실 2층 선비4단지작은도서관,042-673-5627,2020-09-10
선비마을1단지노인정,민간시설,대전 대덕구 법2동 440-4,042-620-6189,2020-09-10
선비마을3단지노인정,민간시설,대전 대덕구 송촌동 461-1,042-672-7919,2020-09-10
선비마을3단지아파트,민간시설,대전광역시 대덕구 송촌동 선비마을3단지아파트 461-1번지,042-111-1111,2020-09-10
선비마을5단지노인정,민간시설,대전 대덕구 송촌동 494-1,042-634-7873,2020-09-10
선비문고,,대전광역시 대덕구 송촌동 선비마을4단지아파트 0,042-633-1626,2020-09-10
섬나의집,민간시설,대전광역시 대덕구 대화동 31-43,042-622-3389,2020-09-10
성덕노인복지센터,행정기관,대전광역시 대덕구 비래동 149-7,042-622-6259,2020-09-10
성덕복지재단성덕실버웰센터,행정기관,대전광역시 대덕구 비래동 557-11,042-638-1365,2020-09-10
성덕실버웰센터,행정기관,대전 대덕구 비래동 557-11,042-638-1365,2020-09-10
성덕요양원,공공시설,대전광역시 대덕구 비래서로10번길 72 (비래동),042-638-1365,2020-09-10
성우보육원,민간시설,대전광역시 대덕구 신탄진로 101 (연축동),042-627-6800,2020-09-10
소망작은도서관,민간시설,대전광역시 대덕구 대전로1033번길 25 대전총신빌딩 3층 304호,042-634-8301,2020-09-10
솔로몬지역아동센터,,대전광역시 대덕구 법2동 189-9,042-633-3443,2020-09-10
송촌도서관,행정기관,대전광역시 대덕구 송촌로 59 (송촌동) 165번지,042-608-5884,2020-09-10
송촌동주민센터,행정기관,대전광역시 대덕구 동춘당로94번길 11 (송촌동),042-608-5706,2020-09-10
송촌문화의집,공공기관,대전광역시 대덕구 송촌동 송촌동사무소4층,042-000-0000,2020-09-10
송촌요양원,민간시설,대전광역시 대덕구 계족산로81번길 70 8층 송촌요양원,042-633-9988,2020-09-10
송촌중학교,공공기관,대전 대덕구 송촌동 495-10,042-627-4932,2020-09-10
수자원공사,공공시설,대전광역시 대덕구 연축동 한국수자원공사 신탄진로 560  연축동 산 6-2,042-629-2271,2020-09-10
신대노인정,민간시설,대전 대덕구 신대동 200-4,042-627-2831,2020-09-10
신탄나루,민간시설,대전광역시 대덕구 덕암북로104번길 37 3층,042-934-5522,2020-09-10
신탄제일자원봉사센터,민간기관,대전광역시 대덕구 신탄진로790번길 12 2층 신탄제일 자원봉사센터,042-671-1365,2020-09-10
신탄지담배공사,민간시설,대전광역시 대덕구 평촌동 KT&amp;G 100번지,042-939-5000,2020-09-10
신탄진도서관,공공기관,대전광역시 대덕구 신탄진동로 64 신탄진평생학습도서관,042-608-5524,2020-09-10
신탄진동행정복지센터,행정기관,대전광역시 대덕구  신탄진로 830 신탄진동주민센터,042-608-5793,2020-09-10
신탄진시민,,대전 대덕구 신탄진동 1,031-947-0385,2020-09-10
신탄진어린이집,민간시설,대전 대덕구 신탄진동 162-7,042-932-1122,2020-09-10
신탄진역,공공시설,대전 대덕구 신탄진동 145-17,042-932-7788,2020-09-10
신탄진중학교,공공기관,대전광역시 대덕구 석봉동 311-1 신탄진중학교,042-930-0600,2020-09-10
신탄진한일병원,민간시설,대전광역시 대덕구 상서동 833-6번지,042-930-0300,2020-09-10
아름다운가게 중리점,민간기관,대전광역시 대덕구 계족로 553 (중리동),042-224-7004,2020-09-10
아우름복지법인 부설 아우름평생교육원,민간시설,대전광역시 대덕구  한밭대로 1141 중리동 진성빌딩4층,042-627-2212,2020-09-10
안당어린이집,민간시설,대전광역시 대덕구  오정로9번길 35 안당어린이집,042-636-2032,2020-09-10
안산도서관,공공기관,대전광역시 대덕구 계족로663번길 25 안산도서관,042-608-5557,2020-09-10
어린이재단대전종합사회복지관,민간시설,대전광역시 대덕구 비래동 116-7번지,042-631-7627,2020-09-10
에너지관리공단 대전충남지역본부,공공기관,대전광역시 대덕구 신일서로68번길 71 (신일동),042-525-0365,2020-09-10
엑슬루아파트 작은도서관,민간시설,대전광역시 대덕구 대덕대로 1555 금강엑슬루타워아파트  에듀센터,042-934-0570,2020-09-10
엘림특수교육원,공공시설,대전광역시 대덕구 한남로88번길 24 오정동445-1 1층,042-626-3026,2020-09-10
연축노인정,민간시설,대전 대덕구 연축동 134,042-620-6189,2020-09-10
열매주간보호센터,민간시설,대전광역시 대덕구 한남로137번길 57 1층,042-621-3026,2020-09-10
예사랑 실버케어 요양원,민간시설,대전광역시 대덕구 우암로 478 (비래동),042-621-1005,2020-09-10
오광(아)노인정,민간시설,대전 대덕구 대화동 253,042-621-5417,2020-09-10
오정동행정복지센터,공공기관,대전광역시 대덕구  한밭대로972번길  92 오정동행정복지센터,042-608-5633,2020-09-10
